TIME	DELETED
133200.0	248
136800.0	244
140400.0	266
144000.0	232
147600.0	253
151200.0	191
154800.0	277
158400.0	236
162000.0	235
165600.0	252
169200.0	148
172800.0	309
176400.0	267
180000.0	210
183600.0	212
187200.0	227
190800.0	238
194400.0	264
198000.0	242
201600.0	172
205200.0	289
208800.0	206
212400.0	230
216000.0	253
219600.0	274
223200.0	171
226800.0	278
230400.0	285
234000.0	211
237600.0	237
241200.0	234
244800.0	245
248400.0	212
252000.0	235
255600.0	216
259200.0	44
266400.0	0
273600.0	0
3600.0	38
7200.0	244
10800.0	235
14400.0	266
262800.0	0
270000.0	0
18000.0	206
21600.0	221
25200.0	224
28800.0	214
32400.0	273
36000.0	258
39600.0	223
43200.0	214
46800.0	233
50400.0	214
54000.0	238
57600.0	255
61200.0	293
64800.0	171
68400.0	244
72000.0	258
75600.0	235
79200.0	189
82800.0	204
86400.0	282
90000.0	258
93600.0	200
97200.0	246
100800.0	214
104400.0	201
108000.0	300
111600.0	175
115200.0	265
118800.0	245
122400.0	89
126000.0	308
129600.0	222

