TIME	RELAYED
133200.0	7161
136800.0	7386
140400.0	7655
144000.0	7846
147600.0	8007
151200.0	8193
154800.0	8424
158400.0	8673
162000.0	8887
165600.0	9089
169200.0	9232
172800.0	9436
176400.0	9669
180000.0	9888
183600.0	10113
187200.0	10292
190800.0	10490
194400.0	10724
198000.0	10929
201600.0	11144
205200.0	11341
208800.0	11520
212400.0	11730
216000.0	11948
219600.0	12127
223200.0	12359
226800.0	12540
230400.0	12772
234000.0	12989
237600.0	13179
241200.0	13422
244800.0	13609
248400.0	13790
252000.0	13988
255600.0	14173
259200.0	14368
266400.0	14424
273600.0	14426
3600.0	8
7200.0	81
10800.0	260
14400.0	474
262800.0	14414
270000.0	14426
18000.0	657
21600.0	871
25200.0	1111
28800.0	1262
32400.0	1424
36000.0	1691
39600.0	1914
43200.0	2083
46800.0	2307
50400.0	2503
54000.0	2706
57600.0	2874
61200.0	3103
64800.0	3330
68400.0	3522
72000.0	3732
75600.0	3932
79200.0	4129
82800.0	4316
86400.0	4518
90000.0	4717
93600.0	4967
97200.0	5158
100800.0	5340
104400.0	5581
108000.0	5810
111600.0	6019
115200.0	6189
118800.0	6390
122400.0	6611
126000.0	6786
129600.0	6954

