TIME	RELAYED
133200.0	220
136800.0	230
140400.0	260
144000.0	222
147600.0	227
151200.0	154
154800.0	252
158400.0	250
162000.0	181
165600.0	232
169200.0	197
172800.0	219
176400.0	236
180000.0	207
183600.0	227
187200.0	184
190800.0	227
194400.0	224
198000.0	265
201600.0	201
205200.0	208
208800.0	200
212400.0	240
216000.0	228
219600.0	197
223200.0	219
226800.0	184
230400.0	257
234000.0	216
237600.0	222
241200.0	257
244800.0	234
248400.0	191
252000.0	187
255600.0	243
259200.0	94
266400.0	0
273600.0	0
3600.0	18
7200.0	159
10800.0	223
14400.0	240
262800.0	12
270000.0	0
18000.0	175
21600.0	240
25200.0	207
28800.0	192
32400.0	165
36000.0	292
39600.0	230
43200.0	208
46800.0	233
50400.0	189
54000.0	215
57600.0	195
61200.0	269
64800.0	212
68400.0	197
72000.0	224
75600.0	212
79200.0	208
82800.0	219
86400.0	174
90000.0	242
93600.0	230
97200.0	182
100800.0	230
104400.0	237
108000.0	267
111600.0	153
115200.0	171
118800.0	263
122400.0	206
126000.0	192
129600.0	185

