TIME	DELETED
133200.0	169
136800.0	221
140400.0	234
144000.0	264
147600.0	197
151200.0	140
154800.0	219
158400.0	239
162000.0	258
165600.0	186
169200.0	226
172800.0	158
176400.0	195
180000.0	201
183600.0	268
187200.0	211
190800.0	184
194400.0	214
198000.0	228
201600.0	185
205200.0	259
208800.0	173
212400.0	185
216000.0	184
219600.0	232
223200.0	195
226800.0	226
230400.0	210
234000.0	197
237600.0	230
241200.0	199
244800.0	241
248400.0	201
252000.0	203
255600.0	179
259200.0	206
266400.0	58
273600.0	2
3600.0	0
7200.0	1
10800.0	56
14400.0	158
262800.0	189
270000.0	20
18000.0	193
21600.0	220
25200.0	213
28800.0	259
32400.0	121
36000.0	204
39600.0	276
43200.0	213
46800.0	174
50400.0	214
54000.0	202
57600.0	194
61200.0	192
64800.0	218
68400.0	237
72000.0	185
75600.0	223
79200.0	191
82800.0	194
86400.0	185
90000.0	218
93600.0	190
97200.0	231
100800.0	216
104400.0	202
108000.0	266
111600.0	196
115200.0	230
118800.0	151
122400.0	204
126000.0	226
129600.0	168

