TIME	DELETED
133200.0	2
136800.0	4
140400.0	2
144000.0	0
147600.0	8
151200.0	6
154800.0	2
158400.0	9
162000.0	59
165600.0	33
169200.0	32
172800.0	59
176400.0	39
180000.0	46
183600.0	19
187200.0	29
190800.0	17
194400.0	7
198000.0	4
201600.0	7
205200.0	0
208800.0	0
212400.0	2
216000.0	0
219600.0	13
223200.0	2
226800.0	2
230400.0	4
234000.0	8
237600.0	0
241200.0	4
244800.0	59
248400.0	154
252000.0	84
255600.0	26
259200.0	62
266400.0	0
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	40
270000.0	0
18000.0	0
21600.0	173
25200.0	363
28800.0	14
32400.0	12
36000.0	3
39600.0	8
43200.0	4
46800.0	4
50400.0	2
54000.0	4
57600.0	2
61200.0	4
64800.0	2
68400.0	0
72000.0	13
75600.0	145
79200.0	108
82800.0	64
86400.0	35
90000.0	73
93600.0	46
97200.0	4
100800.0	53
104400.0	8
108000.0	10
111600.0	61
115200.0	5
118800.0	19
122400.0	0
126000.0	11
129600.0	3

