TIME	RELAYED
133200.0	2
136800.0	1
140400.0	1
144000.0	3
147600.0	3
151200.0	1
154800.0	1
158400.0	8
162000.0	50
165600.0	33
169200.0	27
172800.0	54
176400.0	35
180000.0	40
183600.0	22
187200.0	24
190800.0	15
194400.0	4
198000.0	2
201600.0	3
205200.0	0
208800.0	1
212400.0	0
216000.0	6
219600.0	2
223200.0	1
226800.0	1
230400.0	2
234000.0	6
237600.0	1
241200.0	0
244800.0	56
248400.0	157
252000.0	64
255600.0	28
259200.0	53
266400.0	0
273600.0	0
3600.0	0
7200.0	0
10800.0	0
14400.0	0
262800.0	38
270000.0	0
18000.0	0
21600.0	299
25200.0	220
28800.0	13
32400.0	11
36000.0	2
39600.0	3
43200.0	3
46800.0	1
50400.0	2
54000.0	2
57600.0	0
61200.0	3
64800.0	0
68400.0	4
72000.0	6
75600.0	136
79200.0	105
82800.0	55
86400.0	32
90000.0	69
93600.0	43
97200.0	7
100800.0	47
104400.0	5
108000.0	6
111600.0	59
115200.0	6
118800.0	15
122400.0	1
126000.0	4
129600.0	2

